"File_Name","Study_Area","SiteID","Site_Number","Recording_Time","Date_Time","Date","Time","Detection_Start","Detection_End","Scientific_name","Common_name","Confidence"
"LC_ARU1_20240627_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-27 06:45:40,2024-06-27,"06:45:40",1240,1243,"Colinus virginianus","Northern Bobwhite",0.8562
"LC_ARU1_20240627_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-06-27 06:49:00,2024-06-27,"06:49:00",1440,1443,"Colinus virginianus","Northern Bobwhite",0.859
"LC_ARU1_20240701_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-01 06:35:24,2024-07-01,"06:35:24",624,627,"Colinus virginianus","Northern Bobwhite",0.8885
"LC_ARU1_20240701_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-01 06:45:56,2024-07-01,"06:45:56",1256,1259,"Colinus virginianus","Northern Bobwhite",0.8109
"LC_ARU1_20240701_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-01 06:46:32,2024-07-01,"06:46:32",1292,1295,"Colinus virginianus","Northern Bobwhite",0.8484
"LC_ARU1_20240701_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-01 06:47:36,2024-07-01,"06:47:36",1356,1359,"Colinus virginianus","Northern Bobwhite",0.8463
"LC_ARU1_20240701_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-01 06:47:54,2024-07-01,"06:47:54",1374,1377,"Colinus virginianus","Northern Bobwhite",0.8024
"LC_ARU1_20240701_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-01 06:48:46,2024-07-01,"06:48:46",1426,1429,"Colinus virginianus","Northern Bobwhite",0.8127
"LC_ARU1_20240702_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-02 06:26:38,2024-07-02,"06:26:38",98,101,"Colinus virginianus","Northern Bobwhite",0.8229
"LC_ARU1_20240702_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-02 06:34:04,2024-07-02,"06:34:04",544,547,"Colinus virginianus","Northern Bobwhite",0.8629
"LC_ARU1_20240702_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-02 06:44:06,2024-07-02,"06:44:06",1146,1149,"Colinus virginianus","Northern Bobwhite",0.8128
"LC_ARU1_20240702_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-02 06:46:36,2024-07-02,"06:46:36",1296,1299,"Colinus virginianus","Northern Bobwhite",0.8011
"LC_ARU1_20240702_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-02 06:47:20,2024-07-02,"06:47:20",1340,1343,"Colinus virginianus","Northern Bobwhite",0.8204
"LC_ARU1_20240702_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-02 06:47:56,2024-07-02,"06:47:56",1376,1379,"Colinus virginianus","Northern Bobwhite",0.8129
"LC_ARU1_20240702_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-02 06:48:20,2024-07-02,"06:48:20",1400,1403,"Colinus virginianus","Northern Bobwhite",0.8198
"LC_ARU1_20240703_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-03 06:53:16,2024-07-03,"06:53:16",1696,1699,"Colinus virginianus","Northern Bobwhite",0.8766
"LC_ARU1_20240703_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-03 06:53:30,2024-07-03,"06:53:30",1710,1713,"Colinus virginianus","Northern Bobwhite",0.8635
"LC_ARU1_20240703_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-03 06:54:20,2024-07-03,"06:54:20",1760,1763,"Colinus virginianus","Northern Bobwhite",0.8594
"LC_ARU1_20240703_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-03 06:54:50,2024-07-03,"06:54:50",1790,1793,"Colinus virginianus","Northern Bobwhite",0.8279
"LC_ARU1_20240706_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-06 06:26:32,2024-07-06,"06:26:32",92,95,"Colinus virginianus","Northern Bobwhite",0.8164
"LC_ARU1_20240706_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-06 06:42:56,2024-07-06,"06:42:56",1076,1079,"Colinus virginianus","Northern Bobwhite",0.8047
"LC_ARU1_20240706_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-06 06:43:46,2024-07-06,"06:43:46",1126,1129,"Colinus virginianus","Northern Bobwhite",0.815
"LC_ARU1_20240706_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-06 06:45:58,2024-07-06,"06:45:58",1258,1261,"Colinus virginianus","Northern Bobwhite",0.8032
"LC_ARU1_20240706_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-06 06:46:10,2024-07-06,"06:46:10",1270,1273,"Colinus virginianus","Northern Bobwhite",0.8029
"LC_ARU1_20240706_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-06 06:46:34,2024-07-06,"06:46:34",1294,1297,"Colinus virginianus","Northern Bobwhite",0.8442
"LC_ARU1_20240707_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-07 06:29:52,2024-07-07,"06:29:52",292,295,"Colinus virginianus","Northern Bobwhite",0.8071
"LC_ARU1_20240707_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-07 06:30:28,2024-07-07,"06:30:28",328,331,"Colinus virginianus","Northern Bobwhite",0.8321
"LC_ARU1_20240707_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-07 06:34:42,2024-07-07,"06:34:42",582,585,"Colinus virginianus","Northern Bobwhite",0.8124
"LC_ARU1_20240708_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-08 06:41:46,2024-07-08,"06:41:46",1006,1009,"Colinus virginianus","Northern Bobwhite",0.8275
"LC_ARU1_20240709_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-09 06:46:32,2024-07-09,"06:46:32",1292,1295,"Colinus virginianus","Northern Bobwhite",0.8324
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:26:46,2024-07-10,"06:26:46",106,109,"Colinus virginianus","Northern Bobwhite",0.8589
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:27:32,2024-07-10,"06:27:32",152,155,"Colinus virginianus","Northern Bobwhite",0.825
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:29:28,2024-07-10,"06:29:28",268,271,"Colinus virginianus","Northern Bobwhite",0.803
"LC_ARU1_20240710_062500.BirdNET.results.csv","LC","ARU1",1,"0625",2024-07-10 06:30:24,2024-07-10,"06:30:24",324,327,"Colinus virginianus","Northern Bobwhite",0.8118
