"FileName","NB_whistle_mean_time","nbVolume","Study_Area","SiteID","Site_Number","Recording_Time","Date_Time","Date","Time"
"LC_ARU1_20240707_062500.wav",182.81,-5.14,"LC","ARU1",1,"0625",2024-07-07 06:28:02.81,2024-07-07,"06:28:02"
"LC_ARU1_20240707_062500.wav",206.77,-6.24,"LC","ARU1",1,"0625",2024-07-07 06:28:26.77,2024-07-07,"06:28:26"
"LC_ARU1_20240707_062500.wav",219.78,-5.44,"LC","ARU1",1,"0625",2024-07-07 06:28:39.78,2024-07-07,"06:28:39"
"LC_ARU1_20240707_062500.wav",247.83,-5.27,"LC","ARU1",1,"0625",2024-07-07 06:29:07.83,2024-07-07,"06:29:07"
"LC_ARU1_20240707_062500.wav",291.11,-5.43,"LC","ARU1",1,"0625",2024-07-07 06:29:51.11,2024-07-07,"06:29:51"
"LC_ARU1_20240707_062500.wav",316.93,-4.84,"LC","ARU1",1,"0625",2024-07-07 06:30:16.93,2024-07-07,"06:30:16"
"LC_ARU1_20240707_062500.wav",329.38,-5.89,"LC","ARU1",1,"0625",2024-07-07 06:30:29.38,2024-07-07,"06:30:29"
"LC_ARU1_20240707_062500.wav",342.38,-5.66,"LC","ARU1",1,"0625",2024-07-07 06:30:42.38,2024-07-07,"06:30:42"
"LC_ARU1_20240707_062500.wav",364.48,-5.67,"LC","ARU1",1,"0625",2024-07-07 06:31:04.48,2024-07-07,"06:31:04"
"LC_ARU1_20240707_062500.wav",592.78,-5.22,"LC","ARU1",1,"0625",2024-07-07 06:34:52.78,2024-07-07,"06:34:52"
"LC_ARU2_20240625_062500.wav",443.43,-5.69,"LC","ARU2",2,"0625",2024-06-25 06:32:23.43,2024-06-25,"06:32:23"
"LC_ARU2_20240625_062500.wav",506.22,-5.66,"LC","ARU2",2,"0625",2024-06-25 06:33:26.22,2024-06-25,"06:33:26"
"LC_ARU2_20240625_062500.wav",1729.26,-5.31,"LC","ARU2",2,"0625",2024-06-25 06:53:49.26,2024-06-25,"06:53:49"
"LC_ARU2_20240625_062500.wav",1773.47,-6.21,"LC","ARU2",2,"0625",2024-06-25 06:54:33.47,2024-06-25,"06:54:33"
"LC_ARU2_20240629_062500.wav",49.62,-5.19,"LC","ARU2",2,"0625",2024-06-29 06:25:49.62,2024-06-29,"06:25:49"
"LC_ARU2_20240629_062500.wav",124.11,-4.44,"LC","ARU2",2,"0625",2024-06-29 06:27:04.11,2024-06-29,"06:27:04"
"LC_ARU2_20240629_062500.wav",966.9,-5.27,"LC","ARU2",2,"0625",2024-06-29 06:41:06.9,2024-06-29,"06:41:06"
"LC_ARU2_20240629_062500.wav",1070.56,-5.49,"LC","ARU2",2,"0625",2024-06-29 06:42:50.56,2024-06-29,"06:42:50"
"LC_ARU2_20240629_062500.wav",1676.13,-5.67,"LC","ARU2",2,"0625",2024-06-29 06:52:56.13,2024-06-29,"06:52:56"
"LC_ARU2_20240703_062500.wav",6.52,-4.99,"LC","ARU2",2,"0625",2024-07-03 06:25:06.52,2024-07-03,"06:25:06"
"LC_ARU2_20240703_062500.wav",56.87,-4.99,"LC","ARU2",2,"0625",2024-07-03 06:25:56.87,2024-07-03,"06:25:56"
"LC_ARU2_20240703_062500.wav",229.62,-5.09,"LC","ARU2",2,"0625",2024-07-03 06:28:49.62,2024-07-03,"06:28:49"
"LC_ARU2_20240703_062500.wav",458.11,-4.47,"LC","ARU2",2,"0625",2024-07-03 06:32:38.11,2024-07-03,"06:32:38"
"LC_ARU2_20240703_062500.wav",503.62,-4.64,"LC","ARU2",2,"0625",2024-07-03 06:33:23.62,2024-07-03,"06:33:23"
"LC_ARU2_20240703_062500.wav",637.36,-5.18,"LC","ARU2",2,"0625",2024-07-03 06:35:37.36,2024-07-03,"06:35:37"
"LC_ARU2_20240703_062500.wav",765.54,-5.19,"LC","ARU2",2,"0625",2024-07-03 06:37:45.54,2024-07-03,"06:37:45"
"LC_ARU2_20240703_062500.wav",848.02,-5.31,"LC","ARU2",2,"0625",2024-07-03 06:39:08.02,2024-07-03,"06:39:08"
"LC_ARU2_20240703_062500.wav",854.89,-5.48,"LC","ARU2",2,"0625",2024-07-03 06:39:14.89,2024-07-03,"06:39:14"
"LC_ARU2_20240703_062500.wav",927.71,-6.03,"LC","ARU2",2,"0625",2024-07-03 06:40:27.71,2024-07-03,"06:40:27"
"LC_ARU2_20240703_062500.wav",937.55,-5.26,"LC","ARU2",2,"0625",2024-07-03 06:40:37.55,2024-07-03,"06:40:37"
"LC_ARU2_20240703_062500.wav",1027.83,-5.11,"LC","ARU2",2,"0625",2024-07-03 06:42:07.83,2024-07-03,"06:42:07"
"LC_ARU2_20240703_062500.wav",1623.01,-5.22,"LC","ARU2",2,"0625",2024-07-03 06:52:03.01,2024-07-03,"06:52:03"
"LC_ARU2_20240707_062500.wav",366.71,-4.43,"LC","ARU2",2,"0625",2024-07-07 06:31:06.71,2024-07-07,"06:31:06"
"LC_ARU2_20240707_062500.wav",469.25,-4.34,"LC","ARU2",2,"0625",2024-07-07 06:32:49.25,2024-07-07,"06:32:49"
"LC_ARU2_20240707_062500.wav",671.36,-4.26,"LC","ARU2",2,"0625",2024-07-07 06:36:11.36,2024-07-07,"06:36:11"
